,Pay_Type_1,Pay_Type_2,Total_Payment
214,3.94,50.0,53.94
215,17.38,0.0,17.38
216,23.17,0.0,23.17
217,0.0,150.0,150.0
218,0.0,0.0,0.0
219,0.0,320.0,320.0
220,0.0,25.0,25.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,937.5,0.0,937.5
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,1250.0,1250.0
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,0.0,0.0,0.0
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.0,0.0,0.0
239,0.0,0.0,0.0
240,0.0,0.0,0.0
241,362.5,0.0,362.5
242,0.0,0.0,0.0
243,355.25,0.0,355.25
244,4139.76,0.0,4139.76
245,7788.9,15.0,7803.9
246,8787.0,136.25,8923.25
247,11252.77,35.0,11287.77
248,10157.55,340.0,10497.55
249,1508.0,50.0,1558.0
250,5566.55,340.0,5906.55
251,2240.25,50.0,2290.25
252,4176.32,159.5,4335.82
253,48604.72,610.25,49214.97
254,26943.81,660.0,27603.81
255,30551.82,319.0,30870.82
256,93012.47,399.13,93411.6
257,92276.21,530.0,92806.21
258,104059.25,770.0,104829.25
259,134747.52,170.0,134917.52
260,87592.8,340.0,87932.8
261,102706.1,3042.5,105748.6
262,123363.7,625.0,123988.7
263,106405.23,565.0,106970.23
264,141057.94,854.25,141912.19
265,127221.5,3100.0,130321.5
266,108435.6,160.0,108595.6
267,138895.7,350.0,139245.7
268,107132.48,575.0,107707.48
269,81446.19,25.0,81471.19
270,58285.5,0.0,58285.5
271,0.0,0.0,0.0
272,134.26,0.0,134.26
273,268.52,0.0,268.52
274,268.52,0.0,268.52
275,402.78,0.0,402.78
276,1369.06,100.0,1469.06
277,1964.8999999999999,0.0,1964.8999999999999
278,934.92,5.0,939.92
279,939.8199999999999,0.0,939.8199999999999
280,1611.12,0.0,1611.12
281,1611.12,25.0,1636.12
282,3356.5,0.0,3356.5
283,5291.5599999999995,54.8,5346.36
284,5397.75,150.0,5547.75
285,2261.5499999999997,300.0,2561.5499999999997
286,1946.77,137.0,2083.77
287,3510.5,130.66,3641.16
288,2127.39,147.04,2274.43
289,2338.98,0.0,2338.98
290,3371.5,0.0,3371.5
291,1723.52,102.41,1825.93
292,1994.04,182.53,2176.57
293,2636.89,410.67,3047.56
294,2089.48,25.0,2114.48
295,2691.54,250.0,2941.54
296,16044.98,300.0,16344.98
297,14130.3,0.0,14130.3
298,23585.1,25.0,23610.1
299,18384.0,100.0,18484.0
300,18043.51,0.0,18043.51
301,11258.4,0.0,11258.4
302,0.0,0.0,0.0
303,0.0,0.0,0.0
304,0.0,0.0,0.0
305,0.0,0.0,0.0
306,0.0,0.0,0.0
307,0.0,0.0,0.0
308,0.0,0.0,0.0
309,1000.0,0.0,1000.0
310,0.0,0.0,0.0
311,0.0,0.0,0.0
312,1250.0,0.0,1250.0
313,1250.0,0.0,1250.0
314,0.0,0.0,0.0
315,4562.5,0.0,4562.5
316,5625.0,0.0,5625.0
317,1562.5,0.0,1562.5
318,12725.0,25.0,12750.0
319,11035.05,50.0,11085.05
320,8750.0,0.0,8750.0
321,2500.0,0.0,2500.0
322,0.0,0.0,0.0
323,375.0,0.0,375.0
324,0.0,0.0,0.0
325,0.0,0.0,0.0
326,711.82,23.66,735.48
327,735.0,0.0,735.0
328,735.0,0.0,735.0
329,1470.0,0.0,1470.0
330,0.0,0.0,0.0
331,0.0,0.0,0.0
332,1470.0,0.0,1470.0
333,0.0,0.0,0.0
334,1470.0,0.0,1470.0
335,0.0,0.0,0.0
336,0.0,0.0,0.0
337,735.0,0.0,735.0
338,0.0,0.0,0.0
339,0.0,0.0,0.0
340,0.0,0.0,0.0
341,0.0,0.0,0.0
342,0.0,0.0,0.0
343,0.0,0.0,0.0
344,0.0,0.0,0.0
345,0.0,0.0,0.0
346,0.0,0.0,0.0
347,0.0,1450.0,1450.0
348,0.0,0.0,0.0
349,0.0,3025.0,3025.0
350,0.0,13225.0,13225.0
351,0.0,45025.0,45025.0
352,0.0,22425.0,22425.0
353,0.0,33487.0,33487.0
354,0.0,42604.38,42604.38
355,0.0,16566.67,16566.67
356,0.0,30225.0,30225.0
357,0.0,21700.0,21700.0
358,0.0,29800.0,29800.0
359,0.0,25775.0,25775.0
360,0.0,28070.0,28070.0
361,0.0,28500.0,28500.0
362,0.0,36925.0,36925.0
363,0.0,28325.0,28325.0
364,0.0,30500.0,30500.0
365,0.0,34807.52,34807.52
366,0.0,21326.36,21326.36
367,0.0,16325.0,16325.0
368,0.0,22700.0,22700.0
369,0.0,19525.0,19525.0
370,0.0,22975.0,22975.0
371,0.0,21650.0,21650.0
372,0.0,15275.0,15275.0
373,0.0,13250.0,13250.0
374,0.0,18450.0,18450.0
375,0.0,9800.0,9800.0
376,0.0,2200.0,2200.0
377,0.0,0.0,0.0
378,0.0,300.0,300.0
379,0.0,0.0,0.0
380,0.0,725.0,725.0
381,0.0,2325.0,2325.0
382,0.0,4125.0,4125.0
383,0.0,3025.0,3025.0
384,0.0,3975.0,3975.0
385,0.0,4500.0,4500.0
386,0.0,5225.0,5225.0
387,0.0,4975.0,4975.0
388,0.0,3650.0,3650.0
389,0.0,5975.0,5975.0
